Reference,Country,Site,Longitude (degrees),Latitude (degrees),Elevation (m),Land use type,Hydrology type,Vector Species,Method,Start Year,Start Month,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Bodker et al. (2003),Tanzania,Milungui,38.233,-4.453,1636,R,N,AF,EIR,1995,10,0.000072,0.000000,0.000001,0.000022,0.000040,0.000022,0.000024,0.022044,0.000000,0.000001,0.000135,0.000000
Bodker et al. (2003),Tanzania,Milungui,38.233,-4.453,1636,R,N,AF,EIR,1996,10,0.000005,0.000000,0.000000,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Milungui,38.233,-4.453,1636,R,N,AG,EIR,1995,10,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000421,0.002919,0.000566,0.000049,0.000000,0.000048
Bodker et al. (2003),Tanzania,Milungui,38.233,-4.453,1636,R,N,AG,EIR,1996,10,0.000001,0.000003,0.000003,-9,-9,-9,-9,-9,-9,-9,-9,-9
Ijumba et al. (2002),Tanzania,Mvuleni,37.33,-3.39,786,PU,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1994,7,27.7248,35.11808,13.8624,7.39328,12.01408,13.8624,18.4832,25.87648,32.3456,21.25568,18.4832,14.78656
Smith et al. (1993),Tanzania,Namawala,36.4,-8.15,289,R,N,AF,EIR,1990,8,2.068112349,1.201620422,0.415406424,0.48357895,-9,2.131187864,5.228896503,1.631680754,6.683456113,38.83540361,13.15220062,3.641814599
Smith et al. (1993),Tanzania,Namawala,36.4,-8.15,289,R,N,AG,EIR,1990,8,4.695536745,5.084381288,2.325716697,10.44514357,-9,46.9678634,144.1003481,15.11642348,10.22977221,9.230831316,2.582251188,2.748373809
Iyengar 1962,Tanzania,Pemba Island,39.75,-5.18,36,PU,N,AGSL,EIR from SPRAYand monthly sporozoites,1958,1,-9,-9,-9,-9,4.011,1.4553,0.4788,0.091,0.049,0.0608,0.0648,0.1504
Smith et al. (1993),Tanzania,Yombo,38.844,-6.585,36,R,N,AF,EIR,1992,1,0,0,0,0,3.268979056,5.207860339,18.02956181,3.817929181,11.31717368,2.051941368,0.318548954,1.288005614
Smith et al. (1993),Tanzania,Yombo,38.844,-6.585,36,R,N,AG,EIR,1992,1,3.131605962,0,0,14.78850984,43.83636425,59.79515385,43.83636425,1.683077793,3.131605962,1.965712142,0,3.131605962
Smith et al. (1993),Tanzania,Zinga,38.98,-6.52,22,R,N,AF,EIR,1992,1,0,0,0,0,0,0,5.417174521,2.896864402,1.852479496,0.633481581,0,0
Smith et al. (1993),Tanzania,Zinga,38.98,-6.52,22,R,N,AG,EIR,1992,1,0,0,0,0,22.11967312,54.09139967,4.837094032,0.967287118,0,0,0,0.88454606
Okello et al. (2006),Uganda,Apac-Olami,32.562,1.887,1053,R,N,AGAF,EIR,2001,6,207.9,291,184.5,207.3,163.5,60.6,194.7,-9,17.4,140.7,151.8,119.7
Okello et al. (2006),Uganda,Arua-Cilio,31.015,3.114,976,PU,N,AGAF,EIR,2001,6,6.3,3.6,41.4,84,100.5,64.8,48.3,-9,1.8,15,26.1,21.6
Okello et al. (2006),Uganda,Jinja_School,33.22,0.43,1166,U,N,AGAF,EIR,2001,6,1.8,0,0,0,0,0,0,-9,0,3.3,2.1,0
Lindblade et al. (1999),Uganda,Kabale_villages,29.976,-1.222,1888,PU,N,AG,EIR,1997,10,-9,-9,0.50625,0.887460317,2.521212121,0.51,0,0,0,0,-9,-9
Okello et al. (2006),Uganda,Kanungu_Kihihi,29.711,-0.592,758,R,N,AGAF,EIR,2001,6,0,0,0,0,0,3.3,3.3,-9,0,0,0,0
Okello et al. (2006),Uganda,Kyenjojo_Kasiina,30.62,0.62,1361,R,N,AGAF,EIR,2001,6,3.3,3.3,0,0,0,0,1.2,-9,0,0,1.8,0
Okello et al. (2006),Uganda,Rakai,31.42,-0.67,1240,R,N,AF,EIR,1960,1,-9,-9,-9,-9,0,5.973913043,15.02347826,12.53217391,3.930652174,4.010869565,0,1.047391304
Okello et al. (2006),Uganda,Rakai,31.42,-0.67,1240,R,N,AG,EIR,1960,1,-9,-9,-9,-9,7.857391304,17.89565217,4.437391304,0,0,0.675652174,0,0.573913043
Okello et al. (2006),Uganda,Tororo-Namwaya,34.176,0.692,1143,PU,N,AGAF,EIR,2001,6,35.4,157.5,48.6,13.8,25.8,41.4,78.3,-9,10.5,48,90.3,30.9
Kent 2007,Zambia,Chidakwa,26.79061,-16.39292,1000,R,N,AA,EIR,2005,11,0,0,0.858,0,0,0,0.75,-9,-9,-9,-9,-9
Kent 2007,Zambia,Lupata,26.79061,-16.39292,1000,R,N,AA,EIR,2005,11,0,0,0.09,0.315,4.182,11.869,1.875,-9,-9,-9,-9,-9
